Query,Clicks,Conversions,Avg_Position,Quality_Score,Avg_CPC,Spend,Revenue_Per_Conversion,Revenue,CPA,ROAS,CVR
for small business cashback business card,12,0,4.02,4,44.35,532.2,9194,0,532.2,0.0,0.0
2026 business cashback card,349,11,5.23,8,17.11,5971.389999999999,4763,52393,542.8536363636363,8.774004042609846,0.03151862464183381
for startups airline rewards card,34,4,3.02,9,27.69,941.46,1209,4836,235.365,5.136702568351284,0.11764705882352941
low fee hotel rewards card,242,24,5.19,7,27.8,6727.6,2138,51312,280.31666666666666,7.6270884119150955,0.09917355371900827
best amex rewards card,334,11,1.08,8,13.11,4378.74,2975,32725,398.0672727272727,7.473611130142461,0.03293413173652695
apply for cashback credit card,64,5,8.9,2,22.81,1459.84,8068,40340,291.96799999999996,27.633165278386674,0.078125
instant approval corporate expense card,449,25,2.46,10,33.7,15131.300000000001,8738,218450,605.2520000000001,14.436961794426121,0.0556792873051225
with airport lounge access business cashback card,422,12,5.51,7,27.52,11613.44,7654,91848,967.7866666666667,7.908767772511848,0.02843601895734597
instant approval company credit card,251,8,9.36,4,22.16,5562.16,2319,18552,695.27,3.3353948825636084,0.03187250996015936
with airport lounge access employee expense card,134,11,8.39,8,24.75,3316.5,2751,30261,301.5,9.124378109452737,0.08208955223880597
high limit merchant cash advance,498,44,7.99,10,33.94,16902.12,7178,315832,384.1390909090909,18.685939988593148,0.08835341365461848
with airport lounge access cash rewards card,306,36,6.45,8,46.44,14210.64,3542,127512,394.74,8.972994882707605,0.11764705882352941
low fee business travel credit card,139,6,4.93,10,46.3,6435.7,5678,34068,1072.6166666666666,5.2935966561524,0.04316546762589928
for freelancers amex rewards card,15,2,5.01,2,43.0,645.0,3594,7188,322.5,11.144186046511628,0.13333333333333333
apply for corporate travel card,237,19,1.78,9,25.2,5972.4,8625,163875,314.33684210526314,27.438718103275068,0.08016877637130802
high limit working capital loan,196,7,1.58,6,49.59,9719.640000000001,5836,40852,1388.5200000000002,4.203036326448304,0.03571428571428571
best expense tracking software,202,13,8.59,5,12.15,2454.3,3707,48191,188.7923076923077,19.635333903760745,0.06435643564356436
for small business spend management platform,296,41,4.68,9,25.79,7633.84,9235,378635,186.19121951219512,49.59954623099253,0.13851351351351351
with rewards small business loan,356,27,1.49,3,29.31,10434.359999999999,5008,135216,386.4577777777777,12.95872482835555,0.07584269662921349
for freelancers expense management card,374,49,6.97,5,48.81,18254.940000000002,8884,435316,372.5497959183674,23.846476624957404,0.13101604278074866
instant approval merchant cash advance,110,3,7.15,5,26.65,2931.5,2926,8778,977.1666666666666,2.9943714821763603,0.02727272727272727
best company credit card,55,7,3.05,8,34.37,1890.35,1349,9443,270.05,4.995371227550454,0.12727272727272726
compare cashback credit card,69,4,4.7,9,15.55,1072.95,3314,13256,268.2375,12.354722960063377,0.057971014492753624
low fee business travel credit card,55,7,6.16,9,28.55,1570.25,2548,17836,224.32142857142858,11.35870084381468,0.12727272727272726
premium merchant cash advance,284,37,6.37,5,34.58,9820.72,1534,56758,265.42486486486484,5.779413322037488,0.13028169014084506
premium hotel rewards card,266,27,5.6,2,15.27,4061.8199999999997,6403,172881,150.43777777777777,42.562447375806904,0.10150375939849623
2026 corporate travel card,232,24,4.28,10,28.48,6607.36,5496,131904,275.3066666666667,19.96319256102286,0.10344827586206896
high limit hotel rewards card,27,1,1.62,6,34.61,934.47,4758,4758,934.47,5.091656232944878,0.037037037037037035
apply for working capital loan,400,37,1.2,4,17.47,6988.0,7055,261035,188.86486486486487,37.35475100171723,0.0925
for small business business travel credit card,378,32,5.14,9,25.95,9809.1,4667,149344,306.534375,15.225046130633798,0.08465608465608465
with rewards corporate travel card,425,24,2.83,8,41.64,17697.0,3949,94776,737.375,5.35548398033565,0.05647058823529412
high limit cashback credit card,236,19,9.45,6,29.22,6895.92,4481,85139,362.9431578947368,12.346285919790253,0.08050847457627118
premium startup loan,233,32,6.76,2,14.69,3422.77,2710,86720,106.9615625,25.336204302363292,0.13733905579399142
2026 corporate credit card,324,3,6.27,3,14.64,4743.360000000001,7316,21948,1581.1200000000001,4.627099777373001,0.009259259259259259
for small business business cashback card,74,5,4.66,2,36.8,2723.2,3316,16580,544.64,6.088425381903643,0.06756756756756757
premium business travel credit card,490,27,3.97,6,17.71,8677.9,8205,221535,321.4037037037037,25.52864172207562,0.05510204081632653
low fee corporate expense card,277,40,2.62,4,6.09,1686.93,3015,120600,42.17325,71.49081467517917,0.1444043321299639
top business cashback card,182,26,1.54,1,43.36,7891.5199999999995,6916,179816,303.52,22.785977859778598,0.14285714285714285
cheap commercial credit card,161,14,6.71,9,5.84,940.24,9829,137606,67.16,146.35199523525907,0.08695652173913043
with rewards amex rewards card,447,38,8.01,6,29.71,13280.37,6922,263036,349.4834210526316,19.80637587657573,0.08501118568232663
with airport lounge access business cashback card,269,36,8.72,2,15.02,4040.38,7811,281196,112.23277777777778,69.59642409872339,0.13382899628252787
apply for business travel credit card,88,0,7.52,3,39.97,3517.3599999999997,1786,0,3517.3599999999997,0.0,0.0
for small business travel rewards card,233,20,9.07,8,11.25,2621.25,1432,28640,131.0625,10.926084883166428,0.08583690987124463
for startups cashback business card,289,3,9.85,9,43.47,12562.83,9786,29358,4187.61,2.3368938368186147,0.010380622837370242
for employees american express travel card,32,4,9.66,9,30.68,981.76,4655,18620,245.44,18.965938722294656,0.125
best company credit card,354,19,6.33,5,12.61,4463.94,8437,160303,234.94421052631577,35.9106529209622,0.05367231638418079
with cashback expense tracking software,442,36,3.02,4,34.19,15111.98,4426,159336,419.77722222222224,10.543687855595362,0.08144796380090498
for small business employee expense card,227,15,1.96,5,6.32,1434.64,3175,47625,95.64266666666667,33.19648134723693,0.06607929515418502
with rewards business financing,286,38,9.95,1,32.02,9157.720000000001,4555,173090,240.9926315789474,18.900992823541227,0.13286713286713286
for freelancers business travel credit card,207,31,3.78,3,38.51,7971.57,1065,33015,257.1474193548387,4.141593186787547,0.1497584541062802
with airport lounge access corporate expense card,159,3,1.31,9,26.59,4227.81,2500,7500,1409.2700000000002,1.7739680827662547,0.018867924528301886
for ecommerce corporate travel card,131,14,4.52,8,11.7,1532.6999999999998,2479,34706,109.47857142857141,22.643700658967838,0.10687022900763359
for freelancers working capital loan,118,7,7.73,4,13.88,1637.8400000000001,8170,57190,233.97714285714287,34.917940702388506,0.059322033898305086
compare working capital loan,240,7,9.02,1,11.58,2779.2,2897,20279,397.0285714285714,7.296704087507197,0.029166666666666667
low fee company credit card,238,15,5.3,3,23.19,5519.22,3314,49710,367.94800000000004,9.006707469533739,0.06302521008403361
premium airline rewards card,212,31,3.65,4,12.98,2751.76,5678,176018,88.76645161290324,63.965607465767356,0.14622641509433962
for freelancers american express travel card,302,18,8.01,4,18.49,5583.98,2830,50940,310.2211111111111,9.12252551047819,0.059602649006622516
with cashback business financing,295,14,5.53,1,11.16,3292.2,5645,79030,235.15714285714284,24.0052244699593,0.04745762711864407
for ecommerce hotel rewards card,296,38,1.77,6,12.98,3842.08,1858,70604,101.10736842105263,18.376504393453548,0.12837837837837837
for freelancers cashback credit card,298,39,8.99,9,47.05,14020.9,1643,64077,359.5102564102564,4.570106055959318,0.13087248322147652
cheap business cashback card,374,21,6.9,8,5.64,2109.3599999999997,9593,201453,100.44571428571427,95.50432358630107,0.05614973262032086
for freelancers cashback credit card,85,4,1.33,2,28.54,2425.9,8553,34212,606.475,14.102807205573189,0.047058823529411764
cheap corporate credit card,420,42,1.08,7,24.39,10243.800000000001,5512,231504,243.90000000000003,22.59942599425994,0.1
with cashback business travel credit card,259,10,1.79,3,17.65,4571.349999999999,4392,43920,457.13499999999993,9.607665131744453,0.03861003861003861
for employees corporate expense card,87,6,8.4,6,40.91,3559.1699999999996,6725,40350,593.1949999999999,11.336912819561865,0.06896551724137931
premium amex rewards card,264,7,5.33,2,14.86,3923.04,3666,25662,560.4342857142857,6.541355683347608,0.026515151515151516
apply for business travel credit card,382,20,4.02,8,45.13,17239.66,8035,160700,861.983,9.32152954292602,0.05235602094240838
cheap business credit card,323,16,3.24,4,35.72,11537.56,9038,144608,721.0975,12.5336726309549,0.04953560371517028
for travel american express business card,394,42,5.56,6,34.88,13742.720000000001,7616,319872,327.20761904761906,23.27574162902249,0.1065989847715736
for travel hotel rewards card,73,3,1.75,3,48.32,3527.36,6977,20931,1175.7866666666666,5.933899573618797,0.0410958904109589
for ecommerce cashback business card,118,16,6.55,1,43.95,5186.1,8198,131168,324.13125,25.292223443435336,0.13559322033898305
best employee expense card,123,18,4.42,2,26.93,3312.39,9399,169182,184.02166666666665,51.07550741307636,0.14634146341463414
low fee business travel credit card,378,8,8.73,10,30.97,11706.66,1154,9232,1463.3325,0.7886109274549701,0.021164021164021163
compare cashback credit card,337,22,7.79,8,39.91,13449.669999999998,5408,118976,611.3486363636363,8.846016296310617,0.06528189910979229
compare hotel rewards card,337,17,1.17,6,14.25,4802.25,2165,36805,282.4852941176471,7.664115779061898,0.050445103857566766
compare business travel credit card,241,14,2.5,4,34.06,8208.460000000001,6054,84756,586.3185714285715,10.325444724101718,0.058091286307053944
top expense tracking software,486,22,5.27,9,17.26,8388.36,6199,136378,381.28909090909093,16.258005140456536,0.04526748971193416
for travel working capital loan,35,2,6.93,7,8.13,284.55,8624,17248,142.275,60.6150061500615,0.05714285714285714
with cashback cash rewards card,355,10,7.44,1,49.21,17469.55,1221,12210,1746.955,0.6989304246531822,0.028169014084507043
for travel american express business card,186,9,8.35,6,36.62,6811.32,8807,79263,756.8133333333333,11.636951427917056,0.04838709677419355
with rewards expense tracking software,477,54,1.44,4,36.72,17515.44,7310,394740,324.35999999999996,22.536687631027256,0.11320754716981132
for freelancers business financing,437,25,1.17,6,24.8,10837.6,6466,161650,433.504,14.915663984646047,0.057208237986270026
with cashback hotel rewards card,52,2,6.4,8,13.88,721.76,6638,13276,360.88,18.393925958767458,0.038461538461538464
compare cashback credit card,58,1,7.51,9,44.82,2599.56,2592,2592,2599.56,0.9970918155380142,0.017241379310344827
cheap business credit card,189,11,8.08,3,33.39,6310.71,7710,84810,573.7009090909091,13.439058362688192,0.0582010582010582
with airport lounge access corporate travel card,336,33,2.4,2,16.2,5443.2,2670,88110,164.94545454545454,16.187169312169313,0.09821428571428571
top business travel credit card,169,7,9.72,10,12.38,2092.2200000000003,4026,28182,298.8885714285715,13.469902782690156,0.04142011834319527
compare travel rewards card,115,7,3.06,7,38.39,4414.85,5559,38913,630.6928571428572,8.814115994880913,0.06086956521739131
apply for company credit card,320,45,3.25,7,12.97,4150.400000000001,6236,280620,92.23111111111112,67.6127602158828,0.140625
with rewards expense tracking software,122,10,2.39,3,14.79,1804.3799999999999,7958,79580,180.438,44.10379188419291,0.08196721311475409
for freelancers employee expense card,259,21,1.39,5,9.57,2478.63,3750,78750,118.03,31.771583495721426,0.08108108108108109
cheap employee expense card,27,1,8.29,10,38.84,1048.68,3780,3780,1048.68,3.6045314109165805,0.037037037037037035
premium american express travel card,132,11,1.05,8,33.41,4410.12,4174,45914,400.92,10.4110545744787,0.08333333333333333
instant approval employee expense card,479,70,5.17,3,24.09,11539.11,2172,152040,164.84442857142858,13.176059505455793,0.14613778705636743
for startups business travel credit card,452,20,1.83,8,12.92,5839.84,2039,40780,291.992,6.983068029261076,0.04424778761061947
high limit startup loan,294,41,1.4,3,29.97,8811.18,4500,184500,214.90682926829268,20.939306653592368,0.13945578231292516
for small business business travel credit card,169,5,9.41,4,34.08,5759.5199999999995,6732,33660,1151.904,5.844237019751646,0.029585798816568046
for freelancers corporate travel card,191,4,8.43,3,16.13,3080.83,1031,4124,770.2075,1.3386003122535162,0.020942408376963352
for ecommerce corporate expense card,93,9,4.55,5,19.35,1799.5500000000002,6902,62118,199.95000000000002,34.51862965741435,0.0967741935483871
compare hotel rewards card,296,13,5.13,8,14.62,4327.5199999999995,4212,54756,332.88615384615383,12.652974451880063,0.04391891891891892
with rewards american express travel card,180,12,8.81,5,21.05,3789.0,3676,44112,315.75,11.642121931908155,0.06666666666666667
premium business financing,178,19,8.17,7,16.02,2851.56,3645,69255,150.0821052631579,24.286706223961623,0.10674157303370786
with rewards merchant cash advance,401,34,7.22,4,26.89,10782.89,7678,261052,317.14382352941175,24.20983613854913,0.08478802992518704
for freelancers cashback credit card,308,3,5.83,10,47.2,14537.6,5660,16980,4845.866666666667,1.1680057230904688,0.00974025974025974
instant approval expense tracking software,493,26,6.47,2,17.69,8721.17,5897,153322,335.4296153846154,17.580439321788248,0.05273833671399594
low fee hotel rewards card,444,8,4.54,6,23.63,10491.72,8724,69792,1311.465,6.6521028010659835,0.018018018018018018
for ecommerce cashback credit card,145,20,5.75,5,21.76,3155.2000000000003,4487,89740,157.76000000000002,28.441937119675455,0.13793103448275862
for ecommerce company credit card,134,16,5.86,8,13.92,1865.28,4941,79056,116.58,42.38291302110139,0.11940298507462686
with airport lounge access cashback credit card,18,2,8.78,8,48.8,878.4,6966,13932,439.2,15.860655737704919,0.1111111111111111
with rewards business credit card,87,11,2.97,1,28.33,2464.71,5544,60984,224.06454545454545,24.74287035797315,0.12643678160919541
instant approval corporate travel card,439,33,3.22,8,32.1,14091.900000000001,3825,126225,427.02727272727276,8.957273327230535,0.07517084282460136
low fee corporate travel card,42,5,2.9,3,13.15,552.3000000000001,4360,21800,110.46000000000001,39.47130182871627,0.11904761904761904
high limit american express business card,323,33,6.21,2,41.31,13343.130000000001,9760,322080,404.33727272727276,24.138264410224586,0.1021671826625387
for startups airline rewards card,88,7,7.26,10,44.35,3902.8,7782,54474,557.5428571428572,13.957671415394076,0.07954545454545454
with cashback american express travel card,231,14,3.15,4,27.92,6449.52,2643,37002,460.68,5.73717113831727,0.06060606060606061
for employees corporate travel card,359,37,7.09,10,19.31,6932.29,1647,60939,187.35918918918918,8.790601662654044,0.10306406685236769
for startups cashback credit card,241,22,6.65,8,16.53,3983.7300000000005,1677,36894,181.07863636363638,9.26116980819483,0.0912863070539419
top startup loan,424,40,3.89,5,9.0,3816.0,6659,266360,95.4,69.80083857442348,0.09433962264150944
instant approval amex rewards card,462,30,3.07,7,23.9,11041.8,3375,101250,368.06,9.169700592294735,0.06493506493506493
low fee amex corporate card,92,10,8.94,8,31.28,2877.76,1257,12570,287.776,4.367980651617925,0.10869565217391304
best business travel credit card,313,6,6.13,3,26.15,8184.95,7936,47616,1364.1583333333333,5.817506521114973,0.019169329073482427
compare american express business card,371,41,7.34,7,28.56,10595.76,7563,310083,258.4331707317073,29.26481913520125,0.1105121293800539
for startups travel rewards card,148,16,9.33,7,45.1,6674.8,6328,101248,417.175,15.168694193084436,0.10810810810810811
for ecommerce small business credit card,393,32,2.85,9,17.16,6743.88,9958,318656,210.74625,47.2511373274732,0.08142493638676845
for ecommerce business credit card,494,23,4.15,3,31.32,15472.08,7162,164726,672.6991304347827,10.646661599474667,0.0465587044534413
for travel expense tracking software,339,28,4.91,6,11.87,4023.93,9284,259952,143.7117857142857,64.60152139823506,0.08259587020648967
with cashback amex corporate card,377,10,3.1,7,33.28,12546.560000000001,9381,93810,1254.6560000000002,7.476949857172005,0.026525198938992044
2026 amex rewards card,137,6,8.56,9,9.08,1243.96,3300,19800,207.32666666666668,15.916910511592013,0.043795620437956206
for freelancers airline rewards card,365,25,1.75,4,11.47,4186.55,6586,164650,167.46200000000002,39.32832523199293,0.0684931506849315
high limit business travel credit card,426,44,3.15,4,12.16,5180.16,7884,346896,117.7309090909091,66.96627131208302,0.10328638497652583
high limit corporate credit card,454,16,2.72,5,33.13,15041.02,1227,19632,940.06375,1.3052306293057252,0.03524229074889868
with cashback small business loan,97,3,9.58,10,35.79,3471.63,2674,8022,1157.21,2.310730118128948,0.030927835051546393
with cashback expense tracking software,280,26,6.65,5,5.48,1534.4,1776,46176,59.01538461538462,30.09384775808133,0.09285714285714286
cheap business financing,38,3,7.45,1,42.23,1604.7399999999998,5212,15636,534.9133333333333,9.743634482844575,0.07894736842105263
for travel cashback business card,240,5,1.98,8,40.99,9837.6,5243,26215,1967.52,2.6647759616166544,0.020833333333333332
with rewards small business credit card,164,2,2.75,8,14.77,2422.2799999999997,5276,10552,1211.1399999999999,4.356226365242664,0.012195121951219513
for ecommerce corporate credit card,285,8,8.29,9,9.02,2570.7,5931,47448,321.3375,18.45722954837204,0.028070175438596492
for startups travel rewards card,429,58,6.11,3,31.21,13389.09,1137,65946,230.84637931034484,4.9253534034053095,0.1351981351981352
high limit merchant cash advance,23,2,1.41,6,44.1,1014.3000000000001,1491,2982,507.15000000000003,2.939958592132505,0.08695652173913043
for startups business financing,46,6,6.09,10,20.79,956.3399999999999,7465,44790,159.39,46.83480770437293,0.13043478260869565
for ecommerce travel rewards card,493,50,5.28,9,48.43,23875.99,5350,267500,477.51980000000003,11.203723908411755,0.10141987829614604
high limit amex corporate card,366,53,2.38,4,48.85,17879.100000000002,2582,136846,337.3415094339623,7.653964685023294,0.1448087431693989
for employees hotel rewards card,225,16,6.34,9,5.66,1273.5,9257,148112,79.59375,116.3031016882607,0.07111111111111111
with rewards working capital loan,58,5,2.56,6,34.5,2001.0,4791,23955,400.2,11.97151424287856,0.08620689655172414
top cash rewards card,244,22,8.3,4,20.8,5075.2,2390,52580,230.6909090909091,10.36018284993695,0.09016393442622951
for freelancers american express business card,429,4,6.57,6,11.32,4856.28,5525,22100,1214.07,4.550808437734233,0.009324009324009324
apply for american express travel card,451,6,8.84,6,38.33,17286.829999999998,4292,25752,2881.138333333333,1.4896889713151573,0.013303769401330377
for employees business cashback card,259,7,4.82,4,37.21,9637.39,7982,55874,1376.77,5.797627780965594,0.02702702702702703
apply for business financing,486,39,5.61,10,7.3,3547.7999999999997,6020,234780,90.96923076923076,66.17622188398444,0.08024691358024691
premium business financing,24,1,7.85,5,11.27,270.48,6881,6881,270.48,25.439958592132502,0.041666666666666664
cheap hotel rewards card,432,36,5.92,1,8.44,3646.08,7734,278424,101.28,76.36255924170617,0.08333333333333333
instant approval corporate expense card,14,1,6.15,9,31.73,444.22,7688,7688,444.22,17.306739903651344,0.07142857142857142
instant approval business credit card,106,13,5.98,7,17.89,1896.3400000000001,7287,94731,145.87230769230771,49.9546494826877,0.12264150943396226
apply for expense management card,240,35,5.42,5,30.28,7267.200000000001,7536,263760,207.63428571428574,36.29458388375165,0.14583333333333334
best expense management card,310,27,8.25,5,35.82,11104.2,5041,136107,411.2666666666667,12.25725401199546,0.08709677419354839
premium amex rewards card,394,23,5.37,6,20.72,8163.679999999999,1182,27186,354.94260869565215,3.3301158301158305,0.0583756345177665
with cashback business cashback card,312,16,9.11,8,20.68,6452.16,9095,145520,403.26,22.55368744730447,0.05128205128205128
for startups business financing,299,17,8.28,3,38.68,11565.32,4758,80886,680.3129411764705,6.9938402050267525,0.056856187290969896
with airport lounge access cash rewards card,497,27,7.23,8,20.91,10392.27,7257,195939,384.8988888888889,18.854302284293997,0.05432595573440644
for travel spend management platform,145,9,9.09,3,20.75,3008.75,6794,61146,334.30555555555554,20.322725384295804,0.06206896551724138
compare company credit card,481,9,5.83,10,32.1,15440.1,4085,36765,1715.5666666666666,2.3811374278664,0.018711018711018712
cheap corporate expense card,247,24,8.4,5,8.16,2015.52,5352,128448,83.98,63.72945939509407,0.09716599190283401
high limit merchant cash advance,63,5,3.18,5,20.39,1284.57,1562,7810,256.914,6.079855515853555,0.07936507936507936
for employees merchant cash advance,96,7,1.66,2,10.9,1046.4,3549,24843,149.4857142857143,23.741399082568805,0.07291666666666667
2026 hotel rewards card,237,5,7.17,1,44.64,10579.68,5264,26320,2115.936,2.4877879104093883,0.02109704641350211
for travel business credit card,69,1,3.71,3,19.85,1369.65,3760,3760,1369.65,2.745226882780272,0.014492753623188406
instant approval corporate travel card,470,40,6.71,10,26.05,12243.5,8833,353320,306.0875,28.857761261077307,0.0851063829787234
with cashback commercial credit card,302,4,1.7,4,8.92,2693.84,6262,25048,673.46,9.298250824102396,0.013245033112582781
top business financing,439,48,9.6,7,27.26,11967.140000000001,1254,60192,249.3154166666667,5.029773195600619,0.10933940774487472
2026 employee expense card,283,42,5.64,7,34.61,9794.63,2655,111510,233.20547619047616,11.384809839677457,0.14840989399293286
for startups airline rewards card,19,1,1.09,9,7.01,133.19,7735,7735,133.19,58.07493055034162,0.05263157894736842
with airport lounge access expense management card,260,28,5.28,4,19.95,5187.0,4977,139356,185.25,26.866396761133604,0.1076923076923077
instant approval amex corporate card,77,5,8.11,3,30.05,2313.85,7288,36440,462.77,15.748644034833719,0.06493506493506493
apply for travel rewards card,208,21,8.79,3,49.83,10364.64,1103,23163,493.5542857142857,2.2348098920946606,0.10096153846153846
for small business american express travel card,493,49,5.15,10,39.48,19463.64,2801,137249,397.21714285714285,7.051558701250126,0.09939148073022312
for ecommerce cash rewards card,95,11,2.13,10,30.51,2898.4500000000003,8598,94578,263.49545454545455,32.63054391140092,0.11578947368421053
best cashback credit card,372,40,9.16,1,14.4,5356.8,8790,351600,133.92000000000002,65.63620071684588,0.10752688172043011
instant approval small business credit card,341,39,9.83,6,48.6,16572.600000000002,2980,116220,424.9384615384616,7.0127801310597,0.11436950146627566
for small business hotel rewards card,417,36,1.57,4,14.07,5867.1900000000005,1903,68508,162.97750000000002,11.676458406835298,0.08633093525179857
apply for cash rewards card,312,24,1.7,5,11.96,3731.5200000000004,2222,53328,155.48000000000002,14.291227167481347,0.07692307692307693
high limit cashback business card,46,3,6.09,2,24.16,1111.36,5449,16347,370.4533333333333,14.709005182839045,0.06521739130434782
cheap airline rewards card,209,13,5.81,8,38.3,8004.7,4520,58760,615.7461538461538,7.340687346184117,0.06220095693779904
apply for spend management platform,477,22,6.3,10,9.12,4350.24,9239,203258,197.7381818181818,46.7233991687815,0.04612159329140461
for employees travel rewards card,52,0,3.85,3,13.3,691.6,6955,0,691.6,0.0,0.0
top corporate travel card,219,22,1.45,7,33.11,7251.09,8213,180686,329.595,24.91846053489889,0.1004566210045662
2026 business financing,290,39,6.22,9,6.09,1766.1,4310,168090,45.284615384615385,95.17581110922372,0.13448275862068965
for ecommerce hotel rewards card,251,35,2.36,9,34.71,8712.210000000001,4100,143500,248.92028571428574,16.47113648546121,0.1394422310756972
low fee hotel rewards card,352,32,4.07,8,7.9,2780.8,6139,196448,86.9,70.64441887226697,0.09090909090909091
instant approval company credit card,495,11,6.24,3,21.6,10692.0,2052,22572,972.0,2.111111111111111,0.022222222222222223
for freelancers corporate credit card,155,20,2.88,5,23.69,3671.9500000000003,3063,61260,183.59750000000003,16.68323370416264,0.12903225806451613
2026 cashback credit card,444,50,5.88,10,33.94,15069.359999999999,8651,432550,301.38719999999995,28.703939649726333,0.11261261261261261
for small business amex rewards card,261,11,7.43,1,19.86,5183.46,3284,36124,471.2236363636364,6.969090144420908,0.0421455938697318
with cashback business travel credit card,311,38,1.59,7,9.24,2873.64,4495,170810,75.62210526315789,59.440291755404296,0.12218649517684887
for small business american express business card,212,16,6.58,4,11.28,2391.3599999999997,3040,48640,149.45999999999998,20.33989027164459,0.07547169811320754
premium company credit card,452,60,5.58,9,24.88,11245.76,3391,203460,187.42933333333335,18.092152064422503,0.13274336283185842
for small business business cashback card,176,7,1.88,10,30.77,5415.5199999999995,3448,24136,773.6457142857142,4.456820397671877,0.03977272727272727
best working capital loan,343,41,7.36,8,47.11,16158.73,6095,249895,394.11536585365855,15.465014886689733,0.119533527696793
for small business amex corporate card,377,41,3.8,10,29.97,11298.689999999999,7728,316848,275.57780487804877,28.042897008414254,0.10875331564986737
for startups american express business card,263,3,2.64,7,36.53,9607.39,7291,21873,3202.463333333333,2.276684926915635,0.011406844106463879
cheap airline rewards card,351,31,3.54,10,13.55,4756.05,6805,210955,153.4209677419355,44.35508457648679,0.08831908831908832
compare corporate expense card,246,27,5.92,4,49.6,12201.6,5521,149067,451.9111111111111,12.217004327301337,0.10975609756097561
instant approval business travel credit card,431,13,6.22,2,11.57,4986.67,6328,82264,383.59000000000003,16.49678041659063,0.030162412993039442
2026 business travel credit card,192,16,2.53,3,30.34,5825.28,5382,86112,364.08,14.782465392221491,0.08333333333333333
low fee employee expense card,344,18,9.43,8,47.61,16377.84,4981,89658,909.88,5.474348265705368,0.05232558139534884
for freelancers expense management card,270,29,3.96,6,26.01,7022.700000000001,7156,207524,242.16206896551728,29.550457801130616,0.10740740740740741
with airport lounge access american express travel card,122,10,3.41,3,45.64,5568.08,1348,13480,556.808,2.420942227841554,0.08196721311475409
instant approval amex corporate card,398,38,2.68,10,31.43,12509.14,1992,75696,329.1878947368421,6.051255322108474,0.09547738693467336
for freelancers corporate credit card,386,7,2.08,2,43.34,16729.24,5052,35364,2389.8914285714286,2.113903560472562,0.018134715025906734
for freelancers business cashback card,187,5,9.84,8,37.1,6937.7,6566,32830,1387.54,4.732115830894966,0.026737967914438502
for freelancers working capital loan,307,26,7.07,9,31.46,9658.220000000001,2800,72800,371.47,7.537620803833418,0.08469055374592833
for startups business credit card,412,14,8.08,7,10.21,4206.52,8506,119084,300.46571428571434,28.309386381141653,0.03398058252427184
instant approval amex corporate card,171,13,4.61,5,18.1,3095.1000000000004,7466,97058,238.0846153846154,31.35859907595877,0.07602339181286549
with cashback commercial credit card,318,33,4.73,8,10.45,3323.1,7687,253671,100.7,76.3356504468719,0.10377358490566038
for employees cashback credit card,473,58,9.88,3,29.66,14029.18,9704,562832,241.88241379310347,40.11866694988588,0.1226215644820296
with cashback amex rewards card,30,0,2.81,4,24.71,741.3000000000001,7501,0,741.3000000000001,0.0,0.0
with airport lounge access small business loan,310,35,3.94,3,24.36,7551.599999999999,2132,74620,215.76,9.881349647756767,0.11290322580645161
best hotel rewards card,489,29,2.76,3,17.73,8669.97,5511,159819,298.96448275862065,18.433627798020062,0.05930470347648262
cheap spend management platform,69,7,3.54,8,41.78,2882.82,3638,25466,411.8314285714286,8.833711435330683,0.10144927536231885
for ecommerce travel rewards card,446,13,6.97,3,24.13,10761.98,7391,96083,827.8446153846154,8.928003954662618,0.02914798206278027
for small business amex rewards card,28,2,3.78,6,17.63,493.64,9196,18392,246.82,37.257920751964996,0.07142857142857142
for small business amex rewards card,481,61,8.88,7,16.88,8119.28,1806,110166,133.10295081967212,13.568444492615109,0.12681912681912683
low fee amex corporate card,300,7,1.44,1,18.84,5652.0,4684,32788,807.4285714285714,5.8011323425336165,0.023333333333333334
instant approval company credit card,347,43,4.19,8,42.3,14678.099999999999,6761,290723,341.35116279069763,19.806582595840062,0.1239193083573487
cheap small business credit card,258,18,8.75,8,21.5,5547.0,3068,55224,308.1666666666667,9.95565170362358,0.06976744186046512
for freelancers corporate expense card,23,2,6.59,4,15.97,367.31,4958,9916,183.655,26.996270180501483,0.08695652173913043
apply for amex rewards card,95,13,7.94,8,45.02,4276.900000000001,6938,90194,328.99230769230775,21.08863896747644,0.1368421052631579
compare airline rewards card,112,3,3.91,6,45.29,5072.48,2186,6558,1690.8266666666666,1.2928587199949533,0.026785714285714284
cheap corporate expense card,231,24,4.32,7,35.65,8235.15,5644,135456,343.13124999999997,16.448516420465932,0.1038961038961039
cheap expense management card,277,11,8.99,3,42.17,11681.09,1657,18227,1061.9172727272728,1.560385203778072,0.039711191335740074
2026 spend management platform,186,5,7.75,3,42.42,7890.12,9777,48885,1578.024,6.195723258961841,0.026881720430107527
cheap commercial credit card,213,20,4.46,10,36.36,7744.68,3358,67160,387.23400000000004,8.671759194698812,0.09389671361502347
for ecommerce airline rewards card,487,12,2.94,10,25.94,12632.78,1043,12516,1052.7316666666668,0.9907557956364316,0.024640657084188913
for ecommerce amex rewards card,12,0,1.96,9,47.55,570.5999999999999,6946,0,570.5999999999999,0.0,0.0
apply for employee expense card,128,12,8.76,10,19.78,2531.84,2273,27276,210.98666666666668,10.773192618806876,0.09375
